Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007]
Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,..,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,..,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323,1.85099408755323
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,327,..,..,..,..,327,..,..,..,..,327
Afghanistan,AFG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,..,..,..,379190,379100,379100,379100,379100,379100,379100,379100,379110,379100,379100,379100
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,58.0813650706124,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0691112949177,58.0675795729559,58.0675795729559,58.0675795729559
Afghanistan,AFG,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,..,7889,7889,7889,7889.025,7891.8,7891.875,7877.64,7863.405,7849.17,7834.935,7820.7,7807.93,7795.16,7782.39
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,..,28.7919708029197,28.7919708029197,28.7919708029197,28.7920620437956,28.8021897810219,28.8024635036496,28.7505109489051,28.6985583941606,28.6466058394161,28.5946532846715,28.542700729927,28.4960948905109,28.4494890510949,28.4028832116788
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,1485,..,..,..,..,1485,..,..,..,..,1485
Albania,ALB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..,..,..,..,26686.71094,..,..,..
Albania,ALB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,1689.403809,..,..,..
Albania,ALB,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..,..,..,..,..,..,..,..,84.84497833,..,..,..
Albania,ALB,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,4.562271722,..,..,..
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,..,..,..,11740.81,11691.81,11817,11743,11742.9,11873,12013,12010,12013,12013,11810,11190
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,42.8496715328467,42.6708394160584,43.1277372262774,42.8576642335766,42.857299270073,43.3321167883212,43.8430656934307,43.8321167883212,43.8430656934307,43.8430656934307,43.1021897810219,40.8394160583942
Albania,ALB,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,0.299001393,..,..,..
Albania,ALB,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,..,..,..,..,..,..,..,..,..,..,..,1294.595459,..,..,..
Algeria,DZA,Forest area (sq. km),AG.LND.FRST.K2,..,19490,19390,19300,19430,19560,19560,19484,19408,19332,19256,19180,18841,18502,18163
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,..,0.818308959706366,0.814110350369751,0.810331601966797,0.815789794104397,0.821247986241997,0.821247986241997,0.818057386616507,0.814866442180927,0.811675497745346,0.808484553309765,0.805293608874184,0.791060317247055,0.776827025619925,0.762593733992795
Algeria,DZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,89,..,..,..,..,89,..,..,..,..,89
Algeria,DZA,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..,..,..,..,2285675.75,..,..,..
Algeria,DZA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,30195.79688,..,..,..
Algeria,DZA,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..,..,..,..,..,..,..,..,200.346344,..,..,..
Algeria,DZA,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,0.016354931,..,..,..
Algeria,DZA,Agricultural land (sq. km),AG.LND.AGRI.K2,..,..,..,413588.47,413351.408,413602,414564,414310,414316.35,413981.9,413880,413740,413800,413090,412520
Algeria,DZA,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,17.3649641165853,17.3550108093197,17.3655321884285,17.4059228102468,17.3952656461243,17.3955322579291,17.381490003107,17.3772116183966,17.3713335628574,17.3738527295171,17.344042590711,17.3201105074441
Algeria,DZA,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,0.008651013,..,..,..
Algeria,DZA,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,..,..,..,..,..,..,..,..,..,..,..,378.7591858,..,..,..
American Samoa,ASM,Forest area (sq. km),AG.LND.FRST.K2,..,171.3,171.6,171.9,172.2,172.5,172.8,173.1,173.4,173.7,174,174.3,174.6,174.9,175.2
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,..,85.65,85.8,85.95,86.1,86.25,86.4,86.55,86.7,86.85,87,87.15,87.3,87.45,87.6
American Samoa,ASM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..,..,..,..,87.64226532,..,..,..
American Samoa,ASM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,116.1668701,..,..,..
American Samoa,ASM,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..,..,..,..,..,..,..,..,2.816686869,..,..,..
American Samoa,ASM,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,2.173469766,..,..,..
American Samoa,ASM,Agricultural land (sq. km),AG.LND.AGRI.K2,..,..,..,49,49,49,49,49,49,49,49,49,49,48,48
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24,24
American Samoa,ASM,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,1.382021892,..,..,..
American Samoa,ASM,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,..,..,..,..,..,..,..,..,..,..,..,4.429729939,..,..,..
Andorra,AND,Forest area (sq. km),AG.LND.FRST.K2,..,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,..,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894
Andorra,AND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Agricultural land (sq. km),AG.LND.AGRI.K2,..,..,..,188.3,188.2,188.2,188.1,188,188.1,187.6,197.7,197.7,207.7,207.6,207.7
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,40.063829787234,40.0425531914894,40.0425531914894,40.0212765957447,40,40.0212765957447,39.9148936170213,42.063829787234,42.063829787234,44.1914893617021,44.1702127659574,44.1914893617021
Andorra,AND,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Forest area (sq. km),AG.LND.FRST.K2,..,666073.8,671624.4,677175.1,682725.7,688276.2,693826.9,699377.52,704928.14,710478.76,716029.38,721580,727130.61,732681.22,738231.83
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,..,53.4269511510388,53.8721745407877,54.3174059517125,54.7626293414615,55.2078447100345,55.6530761209593,56.0983011149435,56.5435261089276,56.9887511029117,57.4339760968958,57.8792010908799,58.3244252827465,58.769649474613,59.2148736664795
Angola,AGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,1010,..,..,..,..,1010,..,..,..,..,1010
Angola,AGO,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..,..,..,..,1248198.625,..,..,..
Angola,AGO,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,1427.029541,..,..,..
Angola,AGO,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..,..,..,..,..,..,..,..,54.13067627,..,..,..
Angola,AGO,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,0.121391911,..,..,..
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,..,..,..,569524.9,563974.3,558423.8,552873.1,547322.48,541771.86,536221.24,530670.62,525120,519569.39,514018.78,508468.17
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,45.6825940482875,45.2373706585385,44.7921552899655,44.3469238790407,43.9016988850565,43.4564738910724,43.0112488970883,42.5660239031042,42.1207989091201,41.6755747172536,41.230350525387,40.7851263335205
Angola,AGO,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,0.004331751,..,..,..
Angola,AGO,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,..,..,..,..,..,..,..,..,..,..,..,1516.944458,..,..,..
Antigua and Barbuda,ATG,Forest area (sq. km),AG.LND.FRST.K2,..,81.2,81.8,82.5,83.2,83.8,84.5,85.16,85.82,86.48,87.14,87.8,88.47,89.14,89.81
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,..,18.4545454545455,18.5909090909091,18.75,18.9090909090909,19.0454545454545,19.2045454545455,19.3545454545455,19.5045454545455,19.6545454545455,19.8045454545455,19.9545454545455,20.1068181818182,20.2590909090909,20.4113636363636
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,1030,..,..,..,..,1030,..,..,..,..,1030
Antigua and Barbuda,ATG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..,..,..,..,167.8600616,..,..,..
Antigua and Barbuda,ATG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,266.2775574,..,..,..
Antigua and Barbuda,ATG,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..,..,..,..,..,..,..,..,24.97379875,..,..,..
Antigua and Barbuda,ATG,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,7.456981483,..,..,..
Antigua and Barbuda,ATG,Agricultural land (sq. km),AG.LND.AGRI.K2,..,..,..,90,90,90,90,90,90,90,90,90,90,90,90
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455
Antigua and Barbuda,ATG,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,5.752507421,..,..,..
Antigua and Barbuda,ATG,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,..,..,..,..,..,..,..,..,..,..,..,32.37356186,..,..,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,..,285730,286810,287910,288990,290100,290970,293204,295438,297672,299906,302140,305304,308468,311632
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,..,10.4407148781923,10.4801786099266,10.5203731515078,10.5598368832422,10.6003968297469,10.6321870580884,10.7138185179907,10.795449977893,10.8770814377953,10.9587128976976,11.0403443575999,11.1559584753845,11.2715725931691,11.3871867109537
