Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007]
Afghanistan,AFG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,5010,4690,5270,5050,4620,5090,4770,4720,4680,4580,4160,3880,3600
Afghanistan,AFG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,-1800.00357818604,-691.202514648438,-416.53784942627,714.056015014648,3299.16196060181,5607.86002731323,2581.59587478638,1144.77175140381,613.016979217529,-381.266067504879
Afghanistan,AFG,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,16370.0008392334,15909.9998474121,15609.9996566772,15829.9999237061,15960.000038147,16299.9992370605,15819.9996948242,15630.0001144409,15500,15199.9998092651,13390.0003433228,12899.9996185303,11609.9996566772
Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,28639.9993896484,27690.0005340576,26530.0006866455,26889.9993896484,27090.0001525879,26760.0002288818,27020.0004577637,28799.9992370605,29409.9998474121,27120.0008392334,22629.9991607666,20540.0009155273,17139.9993896484
Afghanistan,AFG,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,1100,1080,1190,1220,1190,1140,1120,1150,1150,1110,1120,1130,1200
Albania,ALB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,11.6813595294998,403.39053225517,709.88638687134,715.21883964539,681.64368367195,1014.18354034424,809.13479995728,855.45292520523,248.67105793953,219.94317626953
Albania,ALB,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,105,..,86.9,..
Albania,ALB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,2849.99990463257,3009.99999046326,3049.99995231628,3089.99991416931,3109.99989509583,3089.99991416931,3059.99994277954,3059.99994277954,3019.99998092651,3029.99997138977,3019.99998092651,3130.00011444092,3299.99995231628
Albania,ALB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,9010.00022888184,9449.99980926514,9659.99984741211,9090.00015258789,9220.00026702881,9359.99965667725,8930.00030517578,8880.00011444092,9329.99992370605,8899.99961853027,8640.00034332275,8600.00038146973,8859.99965667725
Albania,ALB,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
Algeria,DZA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,12610,12510,12300,12300,12310,11700,10910,10330,9350,8730,8470,7870,8160
Algeria,DZA,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,-7720.55859375,-5048.783203125,-947.060546875,1138.951171875,1332.548828125,2416.560546875,2490.390625,4114.53125,-1151.37109375,-573.220703125
Algeria,DZA,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,275,..,230.2,..
Algeria,DZA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,92339.9963378906,94400.0015258789,92900.0015258789,93000,89629.997253418,89290.0009155273,85510.0021362305,85690.0024414063,81290.0009155273,82790.0009155273,82330.0018310547,85529.9987792969,85190.0024414063
Algeria,DZA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,282010.009765625,278029.998779297,268899.993896484,265359.985351563,263140.014648438,253509.994506836,240070.007324219,235429.992675781,215750,209869.995117188,206660.003662109,204350.006103516,198830.001831055
Algeria,DZA,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,426,..,383.7,..
American Samoa,ASM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581,50.0000007450581
Andorra,AND,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,629.999995231628,620.000004768372,589.999973773956,589.999973773956,579.999983310699,569.999992847443,589.999973773956,600.000023841858,600.000023841858,629.999995231628,620.000004768372,639.999985694885,639.999985694885
Andorra,AND,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,18910,16840,18740,18350,18270,17560,18100,17520,18440,17850,16970,16870,17780
Angola,AGO,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,5203.0671386719,5850.0637207031,8094.4357910156,8441.2580566406,7743.1979980469,6458.2004394531,5488.9270019531,6826.5859375,6583.1341552734,7244.0906982422
Angola,AGO,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,31,..,26.5,..
Angola,AGO,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,35090.0001525879,34000,37619.9989318848,37430.0003051758,37110.0006103516,34900.0015258789,35759.9983215332,35770.0004577637,36639.9993896484,36900.0015258789,35529.9987792969,36400.0015258789,35330.0018310547
Angola,AGO,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,79680.0003051758,75239.9978637695,81010.0021362305,85910.0036621094,87360.0006103516,82389.9993896484,81089.9963378906,77400.0015258789,79150.0015258789,77730.0033569336,73800.0030517578,72680.0003051758,70199.9969482422
Angola,AGO,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
Antigua and Barbuda,ATG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,10,10,10,10,10,10,10,10,10,10,20,20,20
Antigua and Barbuda,ATG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,471.23656129837,447.777441799641,434.459002614021,440.655465602875,707.827220737934,489.161252975464,478.375432491302,1369.78180533647,418.194701135159,369.34289342165
Antigua and Barbuda,ATG,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,200.000002980232,200.000002980232,200.000002980232,200.000002980232,200.000002980232,189.999997615814,189.999997615814,189.999997615814,189.999997615814,189.999997615814,200.000002980232,200.000002980232,200.000002980232
Antigua and Barbuda,ATG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,1220.00002861023,1190.00005722046,1149.99997615814,1120.00000476837,1090.0000333786,1059.99994277954,1049.99995231628,1259.99999046326,1090.0000333786,1029.99997138977,1919.99995708466,959.999978542328,910.000026226044
Antigua and Barbuda,ATG,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,48530,48210,49040,46450,43500,43850,43510,42070,42600,41470,40250,45840,47170
Argentina,ARG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,3701.72753906201,4650.76953125,390.8671875,15125.322265625,5004.810546875,1716.79980468701,-4037.26074218799,-9063.9609375,-8523.21875,-2377.05078125
Argentina,ARG,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,506,..,340,..
Argentina,ARG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,128800.003051758,127540.000915527,127550.003051758,123599.998474121,122010.00213623,121540.000915527,120360.000610352,118709.999084473,115250,115949.996948242,124010.00213623,130190.002441406,130809.997558594
Argentina,ARG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,369049.987792969,375100.006103516,377209.991455078,373329.986572266,370000,363149.993896484,364480.010986328,355299.987792969,350250,339609.985351563,333820.007324219,354269.989013672,349820.007324219
Argentina,ARG,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,444,..,405,..
Armenia,ARM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,1270,1170,1220,1620,1090,980,1020,960,800,770,820,770,790
Armenia,ARM,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,722.15512084961,1148.57040405273,1320.55766296387,1329.72871398926,1254.09457397461,477.4430847168,468.6383972168,208.49279785156,218.58898925781,237.50524902344
Armenia,ARM,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,565,..,469.6,..
Armenia,ARM,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,2319.9999332428,2349.99990463257,2430.0000667572,2490.00000953674,2470.00002861023,2410.00008583069,2359.99989509583,2269.99998092651,2210.00003814697,2200.00004768372,2170.00007629395,2210.00003814697,2170.00007629395
Armenia,ARM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,9960.00003814697,9439.9995803833,9250,9409.99984741211,9159.99984741211,9130.00011444092,9140.00034332275,9199.99980926514,8199.99980926514,7559.99994277954,7739.99977111816,8890.00034332275,8369.99988555908
Armenia,ARM,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
Aruba,ABW,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,60870,76800,79460,57330,71810,75330,62980,106510,107160,54100,65130,61400,76870
Australia,AUS,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,-17268.705078125,-29898.16015625,-22586.552734375,-22742.505859375,-20663.681640625,-30485.052734375,-21765.140625,-31081.380859375,-32988.638671875,-34203.037109375
Australia,AUS,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,7992,..,6857.4,..
Australia,AUS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,126069.999694824,140600.006103516,141300.003051758,118379.997253418,134160.003662109,137669.998168945,125680.000305176,162619.995117188,164059.997558594,114900.001525879,124269.996643066,120489.99786377,136690.002441406
Australia,AUS,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,585979.98046875,617390.014648438,623270.01953125,574450.012207031,596979.98046875,597270.01953125,580880.004882813,667440.002441406,668340.026855469,566440.002441406,593599.975585938,578950.012207031,606469.970703125
Australia,AUS,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,492,..,544.1,..
Austria,AUT,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,3850,3830,3890,3960,3950,3930,3850,3830,3780,3780,3770,4000,3870
Austria,AUT,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,-8604.11328125,-7723.857421875,-6359.189453125,-6344.0712890625,-6628.8251953125,-4557.25244140629,-3482.3779296875,-2790.6181640625,-3889.25146484379,-2624.07568359379
Austria,AUT,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,2835,..,2468.9,..
Austria,AUT,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,6920.00007629395,7039.99996185303,7269.99998092651,7309.99994277954,7389.9998664856,7440.00005722046,7630.00011444092,7769.99998092651,7920.00007629395,8109.99965667725,8069.99969482422,8250,8329.99992370605
