Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007]
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,56.9108083545081,56.2870467224308,61.2526557952932,59.0103302514867,61.3667445152584,66.02317421224,66.8357271071327,65.2455916800454,..,..,..
Afghanistan,AFG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Afghanistan,AFG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,100,99.9996467682365,100,100,100,100,100,100,..,..,..
Afghanistan,AFG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,99.6629497098259,99.6378371534564,99.8345704823674,99.7213348087994,99.8562187902678,99.9085935266891,99.9934702173874,99.9746344313873,..,..,..
Afghanistan,AFG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,18.2006025215914,18.1899337514472,19.5125396228106,18.8839549651717,19.9385171053378,20.5782591769838,22.7725366537911,21.2778281243428,..,..,..
Albania,ALB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,99.9999999999643,99.9999999999642,100,100,100,100,100,100,..,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,3.09734610810042,3.10956443907259,4.31919456318359,3.9265781354132,4.68879542377014,15.05800184865,23.1454307020446,14.7042791266846,..,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,0,0,0,0,0,0,0.387161762423216,0,..,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,84.6133660520254,83.4325081469574,93.2225650943946,88.5680566665015,94.2902797874458,96.1308352548498,99.968368976096,96.8365990451871,..,..,..
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,38.8840106983002,39.853273847241,36.0891635653848,35.563917177565,34.2453279072063,33.3668262043692,33.8340477410328,33.6358202624012,..,..,..
Algeria,DZA,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Algeria,DZA,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Algeria,DZA,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,84.4120206699264,82.5797084939636,83.2441556371922,57.6908091536495,34.1825494238088,24.7152938283939,22.2112800686568,22.7094420336726,..,..,..
Algeria,DZA,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,12.4738202417443,12.3827298738272,13.0193901036704,13.3169920338184,14.1272255153053,14.3441501484645,15.3906418570512,15.0727217319968,..,..,..
American Samoa,ASM,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
American Samoa,ASM,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..
American Samoa,ASM,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..
American Samoa,ASM,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,0,0,0,0,11.1111111111111,22.2222222222222,55.5555555555556,44.4444444444444,..,..,..
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,10.3076213949548,10.2558344278431,11.462178465567,10.8304182450691,11.8136733075768,12.4070530290878,13.2735055489618,12.8071974989972,..,..,..
Andorra,AND,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,17.8244594869492,17.4195577199093,90.8480627384849,16.5989802462163,97.6859593235148,99.955997318409,100,99.9566358235583,..,..,..
Andorra,AND,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..
Andorra,AND,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..
Andorra,AND,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,0,0,17.0064417974656,16.5989802462163,16.2108450773339,15.8457474277768,15.4983338203787,15.1565554804827,..,..,..
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,32.3885049076425,31.785388814817,32.7298731438952,32.9740250383699,34.6639225658386,33.4154950593669,33.1041946330203,33.7872471854573,..,..,..
Angola,AGO,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Angola,AGO,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Angola,AGO,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,23.9379430611833,24.1208635116031,22.4866439549012,24.7773182226151,35.8239473770463,29.2447825490704,28.7869051191024,28.7776148226511,..,..,..
Angola,AGO,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Antigua and Barbuda,ATG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,18.6223428464755,18.4609303216643,19.6963877942929,19.7255836182805,20.7353850736625,21.4710504378955,23.1478617038523,22.5288761062762,..,..,..
Antigua and Barbuda,ATG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Antigua and Barbuda,ATG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..
Antigua and Barbuda,ATG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..
Antigua and Barbuda,ATG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,99.9999999971326,99.9999999971096,100,100,100,100,100,100,..,..,..
Argentina,ARG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,13.311833946835,13.7514440269638,14.6316258961135,14.4669804074766,15.5973751475223,16.1350718237481,17.382982132833,16.8591006158722,..,..,..
Argentina,ARG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,93.8528246666324,94.1394599235076,98.0219286945161,98.3140640099954,99.0264640003624,99.2176885641081,99.5304130879093,99.4476413232427,..,..,..
Argentina,ARG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,3.57668867952704,3.54967028772942,4.9439913225545,4.73334737369556,7.1541020270896,7.43132337899614,8.93850729857949,8.05553676031747,..,..,..
Argentina,ARG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,0.0612123212817117,0.0612062072149811,0.306158183103711,0.177212099248936,0.825134280573459,1.86548772897914,2.98588535647624,2.22690827077107,..,..,..
Argentina,ARG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,20.601606678315,20.7018963548796,28.8925661082475,31.2493357509293,40.8734463492338,43.6761396431203,61.734255633719,50.1483523313364,..,..,..
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,32.5281183420597,32.2271677279368,34.8814326393148,33.0859498151739,34.9372125951584,37.184484644841,38.6122752150667,37.5300409299361,..,..,..
Armenia,ARM,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Armenia,ARM,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,77.9710619178659,77.0319700350026,88.5180407260833,82.2580831394793,90.6196725434764,94.486901261428,95.6959124881391,95.3088961823302,..,..,..
Armenia,ARM,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,34.2553043464473,34.2351765228229,46.1733442295407,34.9277268492205,46.0031696382002,56.8582755503422,60.0994624398904,58.2342657258758,..,..,..
Armenia,ARM,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,100,100,100,100,100,100,100,100,..,..,..
Aruba,ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,8.55032440147794,8.61450892396923,9.32001528859246,9.49297875176193,9.987683889602,10.5370899888968,11.0472649248094,10.6188794048093,..,..,..
Australia,AUS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,24.8935837696774,24.9042085244703,26.0466667521997,27.1055138379226,28.2740594586091,30.6545427136297,36.3234231456682,32.9709729750069,..,..,..
Australia,AUS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,..,..,..,..,0,0,0.370477163093663,0.370471429551966,0.37046679372249,0.370463085258754,0.37046012438039,0.3704577208273,..,..,..
Australia,AUS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..
Australia,AUS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,..,..,..,..,9.22071834387081,9.22074828793886,13.622246388505,14.3068561073414,16.8424494037064,18.2417585169195,20.3180202081293,18.9375155841204,..,..,..
