Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Rural population,SP.RUR.TOTL,20836794,21257445,21714076,22257746,22904893,23632789,24404524,25165924,25877997,26530194,27131343,27694940,28244483,28796851,29353133
Afghanistan,AFG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.22626630451498,1.99868206731663,2.12535268972467,2.47293690092518,2.86604729998423,3.12845563059823,3.21334127842774,3.07223322687255,2.79022137474985,2.48904096341876,2.24061472421549,2.05600971851725,1.96484214583977,1.93678944009595,1.91332458580508
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,76.887,76.68,76.472,76.263,76.052,75.84,75.627,75.413,75.197,74.98,74.75,74.505,74.246,73.974,73.686
Afghanistan,AFG,Urban population,SP.URB.TOTL,6263748,6464836,6680730,6927765,7212518,7528589,7865068,8204880,8535606,8852834,9164768,9476982,9797274,10131490,10482295
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.38908827870672,3.15989165451406,3.28496184755574,3.63099873466024,4.0280877136847,4.2889512956776,4.37235419172966,4.22979168341647,3.95172562767825,3.64912782637723,3.46289335307327,3.34993438731489,3.32382725656218,3.35442115854384,3.40392481659403
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.49383039084495,2.26827304079294,2.39697830237036,2.74661463795293,3.14310555651301,3.40760003260595,3.49459192739625,3.35560233082199,3.07705362914441,2.77803478841236,2.54783303994568,2.38430907940751,2.31307334941778,2.30381209309418,2.30341213305193
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,39835428
Albania,ALB,Rural population,SP.RUR.TOTL,1517619,1473922,1432259,1393502,1358266,1324613,1291587,1258985,1226200,1195854,1167112,1137407,1106598,1075204,1041188
Albania,ALB,Rural population growth (annual %),SP.RUR.TOTL.ZG,-2.86073390854208,-2.92157841933936,-2.86739570289843,-2.7432914932117,-2.56111169299469,-2.50885449397691,-2.5248646488424,-2.55658540421134,-2.63858844271517,-2.50593818481915,-2.43282532196503,-2.57812110197857,-2.74606661163753,-2.87800331245244,-3.21480421093383
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,51.098,50.009,48.924,47.837,46.753,45.67,44.613,43.577,42.566,41.579,40.617,39.681,38.771,37.888,37.031
Albania,ALB,Urban population,SP.URB.TOTL,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,1747593,1762645,1770478
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,1.49221506952818,1.43512421072918,1.47328791317413,1.60937326447224,1.78778378467889,1.84837893643447,1.74363937043308,1.64611599636276,1.48476433256912,1.54401448032371,1.54128496391169,1.31716210445698,1.07141354924368,0.85761092300088,0.443404480033808
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398
Albania,ALB,"Population, total",SP.POP.TOTL,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Algeria,DZA,Rural population,SP.RUR.TOTL,11839541,11774717,11721662,11678281,11645139,11620785,11603755,11591085,11581512,11573775,11567446,11558339,11542954,11518353,11483873
Algeria,DZA,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.604023290533814,-0.549025616912744,-0.451602267472611,-0.370779105736472,-0.284195219281517,-0.209353463847544,-0.146655245290622,-0.109248447156012,-0.0826234586015085,-0.066827073125341,-0.0546989301714182,-0.0787605737126173,-0.133196027378788,-0.213353122890104,-0.29979729635786
Algeria,DZA,Rural population (% of total population),SP.RUR.TOTL.ZS,34.652,33.903,33.174,32.46,31.764,31.085,30.424,29.779,29.152,28.541,27.948,27.371,26.811,26.267,25.739
Algeria,DZA,Urban population,SP.URB.TOTL,22327435,22955887,23612220,24299170,25016299,25763114,26536380,27332603,28146508,28977623,29821728,30670076,31510100,32332690,33132753
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,2.71345462716008,2.77582264101266,2.81899568576853,2.86778187532324,2.90853790500476,2.94162065886994,2.95728426877393,2.95636170159298,2.93430584303488,2.91006142870206,2.87133438994615,2.80502007708059,2.70206732452187,2.57706633702793,2.44435170203739
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.348,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,73.733,74.261
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.55137942695249,1.6361694381198,1.7221075716178,1.80500474736452,1.88330858570333,1.95146367479529,2.00270360530766,2.03358715504452,2.0453720881528,2.05135237337878,2.04490931275225,2.00739866314238,1.93398334424168,1.83653350440444,1.73080656616175
Algeria,DZA,"Population, total",SP.POP.TOTL,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,44616626
American Samoa,ASM,Rural population,SP.RUR.TOTL,7062,7014,6973,6958,6968,7003,7049,7092,7122,7136,7136,7125,7109,7091,7070
American Samoa,ASM,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.438008471375502,-0.682014578820833,-0.586260347911268,-0.215347150912339,0.143616282045128,0.501038912317906,0.654713411835794,0.608162542022292,0.422119664362456,0.196381042212223,0,-0.154266912299403,-0.224813920736817,-0.253521262548645,-0.296589441337829
American Samoa,ASM,Rural population (% of total population),SP.RUR.TOTL.ZS,12.1,12.201,12.303,12.406,12.498,12.58,12.652,12.712,12.762,12.802,12.83,12.847,12.853,12.847,12.831
American Samoa,ASM,Urban population,SP.URB.TOTL,51305,50476,49702,49126,48787,48666,48668,48699,48684,48603,48481,48336,48203,48106,48033
American Samoa,ASM,Urban population growth (annual %),SP.URB.GROW,-1.37631502473771,-1.62902375235083,-1.54528020490543,-1.16567475252731,-0.692454228889409,-0.248324961117988,0.00410956089400281,0.0636766071614865,-0.0308061984507115,-0.16651766159197,-0.251328878536048,-0.299534396671423,-0.27553648607309,-0.201435032653205,-0.151863476902606
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.9,87.799,87.697,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,87.147,87.153,87.169
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-1.26325354522789,-1.5139641994462,-1.4277823241607,-1.04826295347074,-0.588347444156001,-0.154365337947318,0.0861867792564065,0.132725922558567,0.026882443238318,-0.120130903326101,-0.219117153655893,-0.280883888014678,-0.269018785914943,-0.208127919920259,-0.170444284237201
American Samoa,ASM,"Population, total",SP.POP.TOTL,58367,57490,56675,56084,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197,55103
Andorra,AND,Rural population,SP.RUR.TOTL,8840,9221,9365,9443,9442,9371,9259,9156,9090,9084,9124,9193,9270,9337,9392
Andorra,AND,Rural population growth (annual %),SP.RUR.TOTL.ZG,6.83466679103451,4.21966149074522,1.54958443390477,0.829439038488031,-0.0105904156837112,-0.754800798240844,-1.20237626757766,-1.11866493755898,-0.723449390093282,-0.0660283946075395,0.439368017882964,0.7534020459476,0.834105469614623,0.720162192402506,0.587326158395181
Andorra,AND,Rural population (% of total population),SP.RUR.TOTL.ZS,10.692,10.996,11.088,11.181,11.274,11.369,11.463,11.559,11.655,11.752,11.85,11.938,12.016,12.084,12.142
Andorra,AND,Urban population,SP.URB.TOTL,73842,74639,75096,75011,74306,73056,71511,70057,68903,68211,67873,67815,67876,67928,67962
Andorra,AND,Urban population growth (annual %),SP.URB.GROW,1.50499835480817,1.07354833890696,0.610413622736659,-0.113252558621767,-0.944306728395286,-1.69654318171352,-2.13749863266828,-2.05420876078059,-1.66094779768851,-1.00938762698998,-0.496753027615937,-0.0854902475273902,0.0899101695901563,0.0765809586482714,0.0500404749569113
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.308,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916,87.858
Andorra,AND,Population growth (annual %),SP.POP.GROW,2.06144997957326,1.41468175747827,0.714114761731409,-0.008288192290815,-0.839471761400757,-1.58992366767347,-2.03074436920753,-1.94651826894114,-1.55213476921424,-0.898980862435393,-0.38628103925755,0.0142852505031622,0.179041785311253,0.154134127179226,0.115121698923556
Andorra,AND,"Population, total",SP.POP.TOTL,82682,83860,84461,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265,77354
Angola,AGO,Rural population,SP.RUR.TOTL,8879761,9050985,9223198,9393182,9560379,9724802,9885478,10040929,10192856,10340318,10483874,10625063,10764271,10903384,11041997
Angola,AGO,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.90717644032449,1.90989493407563,1.88482405238829,1.82622748637208,1.76432636731329,1.70521587711144,1.63872821484832,1.56028283148803,1.50174428807543,1.43635402152184,1.37876441159101,1.33773771293477,1.3016764857377,1.28407907063163,1.26327124035453
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,42.476,41.718,40.966,40.217,39.472,38.732,37.998,37.269,36.554,35.851,35.161,34.486,33.823,33.175,32.54
Angola,AGO,Urban population,SP.URB.TOTL,12025599,12644651,13291077,13963065,14660281,15383123,16130308,16900844,17691524,18502164,19332895,20184724,21061028,21962884,22891614
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,5.0105924402647,5.01966522581942,4.98586279172289,4.93227212928482,4.87262349690642,4.81291353028581,4.74289874279112,4.66635747013067,4.57220933179748,4.48020433880439,4.39203509910461,4.31180314839867,4.24982377385174,4.19296192786897,4.14167049102304
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.68060116794567,3.71055489102729,3.70384181489182,3.67149333263444,3.63415021537353,3.59775453949706,3.55199742692341,3.49744741099259,3.43886936840162,3.37826943218091,3.32215836256296,3.2761445879162,3.24291402840967,3.21853035205175,3.19591550765639
Angola,AGO,"Population, total",SP.POP.TOTL,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,33933611
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,60499,61992,63480,64933,66310,67330,68312,69260,70178,71036,71843,72598,73316,74001,74658
Antigua and Barbuda,ATG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.41745564213324,2.43785084870772,2.37195511965594,2.26310733987145,2.09847463238534,1.52651871764133,1.44795440481156,1.37820923689709,1.31673326270929,1.215191919098,1.1296391795172,1.04541906544043,0.984149286767638,0.929974051677511,0.883907839517269
Antigua and Barbuda,ATG,Rural population (% of total population),SP.RUR.TOTL.ZS,71.998,72.595,73.182,73.762,74.297,74.474,74.65,74.825,75,75.154,75.287,75.401,75.494,75.567,75.62
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,23530,23402,23263,23097,22940,23077,23198,23302,23393,23484,23582,23684,23799,23927,24070
Antigua and Barbuda,ATG,Urban population growth (annual %),SP.URB.GROW,-0.555192034469243,-0.545471394250492,-0.595737323885924,-0.716137659388466,-0.682062726279751,0.595433882121755,0.522961753724232,0.4473125738065,0.389763851388073,0.388250589030932,0.416437095254215,0.431600551504804,0.484384831844578,0.53639654235646,0.595872338344038
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.002,27.405,26.818,26.238,25.703,25.526,25.35,25.175,25,24.846,24.713,24.599,24.506,24.433,24.38
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1.57610132986139,1.61138633575081,1.56738832134701,1.47279415442432,1.37637551869337,1.28802773688723,1.2126557898666,1.14304343305706,1.08418161589205,1.00909459019292,0.952914631258636,0.894078681398432,0.861445783881833,0.833667148911523,0.813607937767102
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,84029,85394,86743,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928,98728
Argentina,ARG,Rural population,SP.RUR.TOTL,3823186,3795591,3768543,3732551,3717660,3705497,3693179,3679391,3664923,3649822,3634137,3617403,3599141,3579773,3559798
Argentina,ARG,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.709501028965398,-0.72439764731213,-0.715167533627052,-0.959654050967754,-0.399747599889796,-0.327704530158683,-0.332978802729149,-0.374035541874903,-0.393992378745193,-0.412892628615815,-0.43067305139086,-0.461530370218559,-0.506115918707072,-0.539581529777376,-0.559558889997761
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,9.634,9.47,9.309,9.151,9.01000000000001,8.879,8.751,8.623,8.497,8.373,8.251,8.13,8.009,7.889,7.771
Argentina,ARG,Urban population,SP.URB.TOTL,35861117,36284568,36714243,37055902,37543830,38027774,38509756,38990109,39467043,39940546,40410674,40877099,41339571,41796990,42248949
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.18275022667788,1.17389103087434,1.1772245502055,0.926286488598646,1.30814131603172,1.28077370283392,1.25948243003778,1.2396386789085,1.21579706300955,1.19260291906809,1.17019595911431,1.14760215897919,1.12501972603644,1.10041505272326,1.07551503856124
